f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,p,t,rh
51.02014967,48.76201123,41.76178672,30.92877456,27.85738073,24.1549579,22.22939196,112.6934518,154.2187839,255.8187371,283.1051824,288.0818616,288.4923199,288.9881665,1005.89881,296.7078509,59.01403648
56.06362069,52.79204981,44.47730843,32.69974138,29.59405172,26.06767241,24.67363985,116.1428065,156.6122989,255.3977011,281.8126533,286.4435441,286.909818,287.266408,1004.313096,295.2152789,58.57768795
38.94979304,37.3023048,29.12,22.56403575,20.62184384,18.3892286,17.86952023,107.9795296,150.7521731,256.0201505,284.474158,289.6143556,290.1301505,290.5730386,1001.268182,298.4464912,49.3914673
33.31241769,33.52941675,29.68793979,23.0111477,21.06303857,18.71610536,18.05375353,107.8791627,150.9497742,257.2862183,285.4987676,288.771524,288.8162465,288.9969708,1000.464411,295.8879777,64.1125
37.19673527,35.41303087,30.81417212,23.71511693,21.68607109,19.2223667,18.59543499,107.592217,151.1597568,259.016754,288.8623012,293.4677268,293.927942,294.3542657,995.6532117,302.631483,49.36597938
46.41932331,45.4825094,40.33888158,30.62071429,27.73051692,24.16611842,22.63923872,112.7807425,155.107359,259.4816165,288.1256485,292.2431579,292.4826786,292.7391071,996.2869531,298.7787589,63.31050119
83.61495394,76.7427738,63.58713408,44.21420676,38.80428864,32.67011259,29.6260696,120.4759161,161.5159263,261.6752303,288.0664176,292.7129478,293.2464483,293.6777073,998.3064082,302.6396361,49.45846519
65.5079898,60.6857449,51.15721429,36.47718367,32.32697959,27.63946939,25.53987755,116.5235612,158.1374796,260.0863571,286.8766837,291.5566122,291.9136939,292.3167857,1002.408281,299.7738959,59.33059937
66.51135644,62.02609901,50.94631683,35.98521782,32.13230693,27.78011881,26.15081188,117.3971584,158.617198,259.054198,286.0370594,291.4764158,292.0940297,292.5740792,1005.681117,301.0563218,44.65582923
61.14068865,57.62780795,47.61169738,33.37757517,29.46391853,25.09454898,23.12099903,113.8048109,155.9113773,258.7481086,285.9763531,290.2884675,290.6621435,290.9248885,1005.909477,297.8979575,60.90302288
69.86491363,66.00128599,54.75300384,38.53827255,33.98504798,28.84708253,26.39567179,117.5737236,158.7464395,258.9843666,285.4957486,289.805643,290.209405,290.5344242,1006.101783,297.6725284,58.12585089
